id,cat0,cat1,cat2
1,2.162692e-05,9.094004e-06,0.99996924
2,2.3835476e-09,0.9999956,4.4479243e-06
3,0.00013545986,0.0003104284,0.9995541
4,0.99997497,1.6912202e-06,2.3358958e-05
5,0.99998987,9.250589e-07,9.157742e-06
6,0.9999982,4.126259e-07,1.417357e-06
7,2.9889013e-06,0.9999802,1.6853162e-05
8,2.3147946e-09,0.999951,4.90036e-05
9,1.2151371e-05,4.414001e-05,0.99994373
10,0.31739816,0.6394041,0.04319776
11,1.704509e-05,2.2885326e-05,0.99996006
12,0.0010253941,0.049116228,0.9498584
13,0.9999925,2.6091273e-06,4.828663e-06
14,0.99999917,6.9296604e-08,7.1435636e-07
15,0.99991775,7.478859e-05,7.5108474e-06
16,0.012417842,0.01349582,0.9740864
17,0.0005916046,0.0012605556,0.99814785
18,1.7451875e-05,9.459643e-06,0.99997306
19,0.9999572,1.9931613e-06,4.077743e-05
20,1.3823376e-09,0.99998534,1.4702567e-05
21,0.0264236,0.9720853,0.0014911391
22,0.9999982,2.193202e-07,1.586738e-06
23,0.26235038,0.6857274,0.051922146
24,5.3100306e-05,0.9995524,0.0003943657
25,1.5503349e-05,1.890301e-05,0.99996555
26,2.354536e-07,0.00010929771,0.99989045
27,0.9999937,3.021577e-06,3.3082517e-06
28,0.9999863,4.5125591e-07,1.3193178e-05
29,0.0031338818,0.0007622915,0.9961039
30,0.9999987,7.122162e-08,1.1677362e-06
31,7.376489e-07,6.0614507e-06,0.9999932
32,0.9999988,9.2768886e-08,1.0400929e-06
33,6.6519756e-06,0.98870075,0.011292582
34,1.1093066e-05,2.3406325e-05,0.99996555
35,0.99999416,5.3047747e-06,6.218698e-07
36,0.99999654,1.4564904e-07,3.2937705e-06
37,0.0019182514,0.99798006,0.00010166467
38,0.9999976,1.5465038e-07,2.2137388e-06
39,0.117782876,0.06817757,0.8140395
40,5.983103e-07,5.5565824e-06,0.9999938
41,0.004114238,0.002935304,0.99295044
42,1.7093453e-09,0.9999937,6.3051266e-06
43,0.020769631,0.14946179,0.8297686
44,3.2833732e-06,0.9997522,0.0002444687
45,1.2201976e-07,0.9999435,5.6384626e-05
46,6.120442e-05,5.6259214e-05,0.9998826
47,0.00011779544,0.0002949033,0.99958736
48,3.0317655e-09,0.99999595,4.098715e-06
49,0.9999938,5.5632795e-06,6.444565e-07
50,0.060549505,0.04768549,0.891765
51,0.9999962,1.5604276e-07,3.6939232e-06
52,1.9698204e-05,6.0623315e-05,0.99991965
53,0.9999895,2.6316352e-06,7.905276e-06
54,8.5757565e-05,0.99950874,0.0004054377
55,0.00038645449,0.00056988915,0.99904364
56,0.066740155,0.9124947,0.020765183
57,0.0007227874,0.99903035,0.00024689734
58,0.00079527404,0.00086342765,0.9983413
59,0.12083157,0.0972904,0.781878
60,0.011851418,0.9862694,0.0018791102
61,0.013654682,0.9858543,0.00049095665
62,1.3923459e-05,1.575323e-05,0.9999703
63,0.99995565,2.9705747e-05,1.4702551e-05
64,1.3911258e-06,8.243406e-05,0.9999162
65,0.9997023,0.00027003032,2.7671333e-05
66,0.00056425453,0.99860305,0.00083266763
67,1.7036298e-08,0.9999932,6.761837e-06
68,0.2928455,0.6506504,0.056504223
69,1.4453915e-05,6.343931e-05,0.99992216
70,0.1825745,0.74995023,0.06747528
71,0.9999881,2.604032e-06,9.243381e-06
72,0.01796647,0.005551051,0.97648245
73,0.99997056,1.7641236e-05,1.1817838e-05
74,4.2271653e-09,0.999987,1.29943455e-05
75,5.623604e-09,0.99954695,0.00045308165
76,0.9999988,9.2386415e-08,1.0658124e-06
77,7.6776036e-05,0.9996444,0.00027890326
78,0.9999918,1.3460368e-07,8.078451e-06
79,0.9999993,6.876469e-08,5.4032296e-07
80,4.38073e-08,0.9994974,0.00050261116
81,0.99999166,2.0318733e-07,8.162451e-06
82,1.42736335e-05,1.96773e-05,0.999966
83,5.495103e-07,0.00018285036,0.9998166
84,6.8224824e-07,0.9998073,0.00019206121
85,0.17846046,0.029869562,0.79166996
86,0.99997425,1.995201e-05,5.80223e-06
87,0.9999888,1.0936664e-06,1.01626665e-05
88,3.3451593e-07,0.9999602,3.9422077e-05
89,3.8653266e-07,0.00015132861,0.99984825
90,0.99999964,2.2612092e-07,7.92406e-08
91,0.00013475081,0.00046936248,0.99939585
92,4.742003e-06,1.861546e-05,0.99997663
93,9.68584e-07,7.972322e-06,0.99999106
94,0.99999785,1.6052846e-07,2.0011216e-06
95,0.9999956,1.1876988e-07,4.264554e-06
96,0.2084303,0.7245237,0.06704597
97,0.0013232494,0.9985037,0.00017310705
98,0.017396498,0.043489672,0.93911386
99,0.9999994,3.5560475e-07,2.6960623e-07
100,9.359622e-06,0.00020841243,0.99978226
101,0.9999821,1.6091386e-05,1.7452023e-06
102,0.02799613,0.9641956,0.0078082453
103,0.9999968,1.4300574e-07,3.0656854e-06
104,0.99999845,8.116374e-08,1.3964935e-06
105,0.9999969,1.3695063e-07,3.0331555e-06
106,0.999995,1.9722215e-06,3.0102804e-06
107,0.3000991,0.19935367,0.50054723
108,3.8602022e-07,0.9877182,0.012281401
109,0.04194723,0.9462042,0.011848545
110,4.6585324e-06,0.0001702129,0.9998252
111,0.99864656,0.0012635781,8.991105e-05
112,0.0009135003,0.045046944,0.9540395
113,1.8169511e-09,0.99999464,5.325748e-06
114,0.012724478,0.9857319,0.001543633
115,0.9999871,2.2596064e-06,1.0553445e-05
116,0.0004295518,0.024750855,0.97481954
117,8.3242674e-05,0.9995308,0.00038588664
118,1.1526922e-07,0.99325246,0.0067474716
119,0.2736828,0.6692177,0.05709952
120,0.01465999,0.98391646,0.0014235729
121,0.99995744,3.7907434e-05,4.6084797e-06
122,0.23136933,0.709594,0.059036646
123,0.99999034,1.129817e-06,8.594765e-06
124,6.850449e-05,0.9996761,0.00025534094
125,0.002936843,0.009089453,0.9879737
126,0.9999969,1.3610651e-07,2.9382823e-06
127,0.9999914,1.4512896e-06,7.155634e-06
