number,datetime,bert_model,max_len,epochs,batch_size,            optimizer,learning_rate,warmup,accuracy,macro_prec,macro_recall,macro_f1,macro_support,            weighted_prec,weighted_recall,weighted_f1,weighted_support,file
0,2020-11-21 12:41 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7060715721753116,0.5081537613732002,0.5341686343389922,0.5021631811793109,2487,0.7204703689607845,0.7241237113402061,0.7115620685810518,2425,  sc_all_train_0.tsv
1,2020-11-21 12:53 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7012171181782489,0.5315174487051327,0.5056913086449913,0.4905743092942562,2547,0.704449070247689,0.7271986970684039,0.7096579622266407,2456,  sc_all_test_1.tsv
2,2020-11-21 13:11 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7044392523364486,0.5224357430377056,0.5112644124207264,0.495008074118555,2568,0.7164345653911183,0.7172878667724029,0.7098668335461809,2522,  sc_all_test_2.tsv
3,2020-11-21 13:37 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7081167532986805,0.5087863648433903,0.4948961392620384,0.48011010257303977,2501,0.7186574542505005,0.7267131719327041,0.7148589611850101,2437,  sc_all_test_3.tsv
4,2020-11-21 13:49 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.6966156325543916,0.5446665957835133,0.4612505660257923,0.4661727568182316,2482,0.7099175384403976,0.7109375,0.7039705058046378,2432,  sc_all_test_4.tsv
5,2020-11-21 14:14 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.6997578692493946,0.49747830496505985,0.4912713314433626,0.47932442094130473,2478,0.7120902225071716,0.7118226600985221,0.704750785355678,2436,  sc_0_test_0.tsv
6,2020-11-21 14:36 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7369029275808937,0.5268362900896257,0.5356153615541615,0.5124328283642265,2596,0.7486939114520987,0.750490388387603,0.7391220090584784,2549,  sc_0_test_1.tsv
7,2020-11-21 14:58 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.705184012663237,0.5197563759181619,0.4448284671532615,0.44117982025496294,2527,0.7021782355849204,0.7136563876651982,0.6978085823696482,2497,  sc_0_test_2.tsv
8,2020-11-21 15:09 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7309644670050761,0.5461400537386591,0.5080037889568965,0.49678401362672764,2561,0.7387011803467494,0.7473053892215569,0.7324927126475235,2505,  sc_0_test_3.tsv
9,2020-11-21 15:20 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.7106537530266344,0.5394200106744059,0.5291797936411782,0.5232537759776333,2478,0.7176568268746722,0.7291925465838509,0.716696292832818,2415,  sc_0_test_4.tsv
10,2020-11-21 15:33 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.6052463211772233,0.5937679276456687,0.5137498059323625,0.5138213163759061,1563,0.6197620516555459,0.6130913804277381,0.6019619317148325,1543,  sc_1_test_0.tsv
11,2020-11-21 15:42 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.5834932821497121,0.547535991488332,0.5096813778950469,0.49302573016787515,1563,0.6055909816458078,0.5988181221273802,0.5821229637335569,1523,  sc_1_test_1.tsv
12,2020-11-21 15:53 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.5813648293963255,0.5555667499330761,0.5027517951966057,0.49736331974432685,1524,0.5948614390230208,0.5986486486486486,0.582711745128622,1480,  sc_1_test_2.tsv
13,2020-11-21 16:01 CT,bert-base-uncased,128,4,16,BertAdam,2e-05,0.1,  0.5913911416094823,0.5981769500141454,0.4672342449017274,0.4861007548365049,1603,0.5964278769102428,0.5984848484848485,0.5869942183811798,1584,  sc_1_test_3.tsv
